,Star Name,distance (pc),distance error,N(HI),N(HI) uncertainty,N(HI) source,RA,DEC
0,GJ 754,5.913936842999999,0.007572011474999999,18.27005178,0.007761545753,Zachary+2018,290.19993083333327,-45.558230277777774
1,GJ 780,6.108362347999999,0.006343055464,18.00668285,0.00325302314,Zachary+2018,302.1817058333333,-66.1820675
2,GJ 686,8.159209014,0.0023034151889999997,18.28,0.02,Zachary+2018,264.47227791666666,18.59171111111111
3,GJ 678.1 A,10.11642999,0.004124388926,18.58153464,0.0002620989947,Zachary+2018,262.5947004166666,5.5485175
4,HD 192310,8.79909123,0.009182487432,18.23581371,0.02151432218,Edelman+2020,303.82246499999997,-27.03297583333333
5,HD 9826,13.49163519,0.03458460137,18.07046239,0.1258627484,Edelman+2020,24.199342083333335,41.405456666666666
6,HD 206860,18.12806024,0.01998049568,18.07046239,0.1258627484,Edelman+2020,326.13054125,14.771939444444445
7,HD 209100,3.6389466269999997,0.003302538042,18.0,0.2,Wood2005,330.8402258333333,-56.785982499999996
8,HD 115617,8.555051758,0.01610156024,17.91,0.2,Wood2005,199.60130916666665,-18.311195555555557
9,HD 142373,15.83212877,0.037347789900000004,18.25,0.2,Wood2005,238.16892124999998,42.45151416666667
10,HD 220140,18.96363723,0.01003338478,17.95,0.2,Wood2005,349.8609933333333,79.00351972222222
11,HD 97334,22.65375101,0.019655270319999998,17.82,0.2,Wood2005,168.13479374999997,35.81408083333333
12,HD 222107,26.40612622,0.1464295309,18.45,0.2,Wood2005,354.39101083333327,46.45814916666667
13,HD 93497,35.91954023,0.49028107460000003,18.47,0.2,Wood2005,161.69241125,-49.42025666666667
14,GJ 551,1.301235497,0.0003437223953,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664
15,HD 128620,1.34589502,0.002354863341,17.61,0.2,Wood2005,219.9020583333333,-60.8339925
16,HD128621,1.34589502,0.002354863341,17.61,0.2,Wood2005,219.89609624999997,-60.8375275
17,HD 48915,2.637061259,0.010987465790000001,17.53,0.2,Wood2005,101.28715499999998,-16.716115833333333
18,HD 22049,3.216054544,0.0016548810560000002,17.88,0.2,Wood2005,53.232687083333325,-9.45825861111111
19,HD 201091,3.497165023,0.001232800452,18.13,0.2,Wood2005,316.72474833333337,38.74941583333334
20,HD 61421,3.514197357,0.01556047455,18.06,0.2,Wood2005,114.82549791666666,5.2249875
21,HD 26965,4.984547902,0.005714515194,17.85,0.2,Wood2005,63.81799874999999,-7.652871666666667
22,HD 165341,5.083367222,0.021447716090000003,18.06,0.2,Wood2005,271.36368791666666,2.500098611111111
23,HD 187642,5.12952039,0.014997828090000002,18.29596301,0.3559269892,,297.69582708333326,8.868321111111111
24,HD 155886,5.95869078,0.005524732823,17.85,0.2,Wood2005,258.83659875,-26.6017
25,HD 131156A,6.733122587,0.011043591140000001,17.92,0.2,Wood2005,222.8474483333333,19.100455833333335
26,HD 39587,8.663259118,0.020264056609999997,17.93,0.2,Wood2005,88.59576208333333,20.276172777777777
27,HD 20630,9.139932365,0.022555359080000004,17.89,0.2,Wood2005,49.84040124999999,3.3701986111111113
28,HD 197481,9.724835772,0.004596220079,18.36,0.2,Wood2005,311.28971791666663,-31.340900277777777
29,HD 33262,11.6246764,0.020486178600000002,18.29,0.2,Wood2005,76.37773374999999,-57.472702222222225
30,HD 34029,13.12335958,0.0792223821,18.24,0.2,Wood2005,79.17232791666666,45.99799138888889
31,HD 432,16.78415576,0.1070489948,18.13,0.2,Wood2005,2.29452125,59.14978111111111
32,HD 11443,19.41747573,0.08671882521,18.33,0.2,Wood2005,28.27044583333333,29.57882777777778
33,HD 29139,20.43318349,0.32148653239999997,17.81390874,0.01097084449,,68.98016249999999,16.50930222222222
34,HD 22468,29.62717167,0.07601481989,18.13,0.2,Wood2005,54.19704625,0.5877605555555556
35,HD 4128,29.53337271,0.1395552135,18.36,0.2,Wood2005,10.89737875,-17.98660611111111
36,HD 120315,31.86743149,0.24372796,17.92331951,0.03929437465,,206.8851570833333,49.313266666666664
37,HD 82210,32.33431091,0.16947679429999998,18.05,0.2,Wood2005,143.6202570833333,69.83034055555555
38,HD 62044,38.34355828,0.27934340420000003,18.13635134,0.09876880538,,115.82802874999999,28.883511666666667
39,HD 17925,10.35840066,0.004667396062,18.05,0.2,Wood2005,43.13386708333333,-12.769713888888889
40,HD 82443,18.07778872,0.01944498394,17.7,0.2,Wood2005,143.1823308333333,26.98853
41,HD 82558,18.28989483,0.0224463101,19.05,0.2,Wood2005,143.10653499999998,-11.184635277777778
42,HD 1405,28.33535459,0.03757535954,18.35,0.2,Wood2005,4.587039999999999,30.95614638888889
43,HD 10700,3.6501679080000002,0.002265033402,18.01,0.2,Wood2005,26.017014166666666,-15.937479444444445
44,AD Leo,4.96602494,0.0016745093609999999,18.47,0.2,Wood2005,154.90116999999998,19.87000388888889
45,EV Lac,5.050219382,0.0009691791692999999,17.97,0.2,Wood2005,341.7072129166666,44.33399222222222
46,HD 23249,9.04077389,0.017981830259999998,17.88,0.2,Wood2005,55.812086666666666,-9.763391111111112
47,HD 37394,12.28048631,0.007344463915,18.26,0.2,Wood2005,85.33473208333332,53.48105833333334
48,HD 166,13.77858367,0.009454498732000001,18.29,0.2,Wood2005,1.6532666666666664,29.021502777777776
49,HD 43162,16.73312506,0.006803938541999999,17.87,0.2,Wood2005,93.43873124999999,-23.861935555555558
50,HD 165185,17.20406429,0.034067277119999996,18.13,0.2,Wood2005,271.5988295833333,-36.01978583333333
51,HD 203244,20.80624187,0.148051701,18.82,0.2,Wood2005,321.16884166666665,-68.22792416666667
52,HD 59967,21.77041357,0.012891464840000002,18.54,0.2,Wood2005,112.67713208333332,-37.33936222222223
53,HD 116956,21.65833543,0.009944569769,18.19,0.2,Wood2005,201.43971749999997,56.97049361111111
