,Gaia ID,MAIN_ID,Distance,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,FLUX_U,FLUX_BIBCODE_U,FLUX_ERROR_U,FLUX_SYSTEM_U,FLUX_UNIT_U,FLUX_B,FLUX_BIBCODE_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_UNIT_B,FLUX_V,FLUX_BIBCODE_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_UNIT_V,FLUX_J,FLUX_BIBCODE_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_UNIT_J,FLUX_H,FLUX_BIBCODE_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_UNIT_H,FLUX_K,FLUX_BIBCODE_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_UNIT_K,IDS,MEMBERSHIP,OTYPE,OTYPE_opt,PLX_VALUE,PLX_BIBCODE,ROT_upVsini,ROT_Vsini,ROT_err,ROT_mes,ROT_qual,ROT_bibcode,RV_VALUE,SP_TYPE,SP_QUAL,SP_BIBCODE,SCRIPT_NUMBER_ID,sci_targname
215,GJ699,NAME Barnard's star,1.828234114,17 57 48.4984,+04 41 36.113,14,14,0.0262,0.028999999,90,A,O,2020yCat.1350....0G,,,,,,,,3233,,-0.680000007,,SUN,,2022A&A...658A.194P,12.49699974,2010MNRAS.403.1949K,,Vega,U,11.23999977,2010MNRAS.403.1949K,,Vega,B,9.51099968,2010MNRAS.403.1949K,,Vega,V,5.243999958,2003yCat.2246....0C,0.02,Vega,J,4.829999924,2003yCat.2246....0C,0.029999999,Vega,H,4.524000168,2003yCat.2246....0C,0.02,Vega,K,BD+04  3561a|AC2000  146626|ASCC 1153178|CCDM J17578+0441A|Ci 20 1069|CSI+04-17554|CSV   7737|1E 1755.3+0438|GAT   12|GCRV 10392|GEN# +0.00403561|G 140-24|GJ 699|GSC 00425-00184|GSC 00425-02502|HIC  87937|HIP 87937|IRAS 17553+0438|JP11    18|Karmn J17578+046|LFT 1385|LHS    57|LSPM J1757+0441|LTT 15309|2MASS J17574849+0441405|MCC 799|NAME Barnard's star|NAME Barnard Star|NLTT 45718|NSV  9910|8pc 549.01|PLX 4098|PLX 4098.00|PM J17578+0441N|StKM 2-1355|TIC 325554331|TYC  425-2502-1|UBV   15269|UCAC2  33428712|UCAC4 474-068224|USNO-B1.0 0946-00315199|USNO 347|USNO 876|uvby98 000403561|V* V2500 Oph|VVO   6|WEB 14849|WISEA J175747.94+044323.8|Zkh 269|[RHG95]  2849|Gaia DR3 4472832130942575872|Gaia DR2 4472832130942575872,[],BYDraV*,BY*,546.9759,2020yCat.1350....0G,,3.099999905,1.200000048,0,,2018MNRAS.475.1960F,-110.11,M4V,B,1991ApJS...77..417K,1,GJ699
751,NAME-BARNARDS-STAR,GJ 699,1.828234114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAME-BARNARDS-STAR
1066,WOLF-359,Wolf  359,2.408597344,10 56 28.9208,+07 00 53.003,14,14,0.066799998,0.0515,90,A,O,2020yCat.1350....0G,,,,,,,,3027,5.250999928,-0.224000007,,Sun,,2021ApJS..255....8R,16.70599937,1992AJ....104..340L,0.035,Vega,U,15.54100037,2009AJ....137.4186L,0.0034,Vega,B,13.50699997,1992AJ....104..340L,0.006,Vega,V,7.085000038,2003yCat.2246....0C,0.024,Vega,J,6.481999874,2003yCat.2246....0C,0.041999999,Vega,H,6.084000111,2003yCat.2246....0C,0.017000001,Vega,K,GSC 00261-00377|ASAS J105629+0700.8|1AXG J105630+0701|Ci 20  600|CSI+07-10541|CSV   6806|1E 1053.9+0718|2E  2358|2E 1053.9+0718|EPIC 201885041|1ES 1053+07.2|EUVE J1056+07.0|FBS 1054+073|GCRV  6780|GEN# +6.10010406|G  45-20|GJ 406|JP11  5139|JP11  5138|JP11  5140|JP11  5141|Karmn J10564+070|LFT  750|LHS    36|LSPM J1056+0700|LTT 12923|2MASS J10562886+0700527|NLTT 25782|8pc 419.10|PLX 2553|PLX 2553.00|PM 10541+0719|PM J10564+0700|RBS   922|2RE J1056+070|2RE J105629+070051|RE J1056+070|RE J105630+070040|RX J1056.5+0701|1RXS J105630.3+070118|StKM 2-681|TIC 365006789|UBV   10028|UCAC4 486-052878|USNO 836|USNO 612|USNO-B1.0 0970-00229948|V* CN Leo|WEB  9714|WISEA J105626.19+070025.0|Wolf  359|2XMMi J105627.2+070036|Zkh 147|[GKL99] 228|[RHG95]  1702|[ZEH2003] RX J1056.5+0701  1|Gaia DR3 3864972938605115520,[],Eruptive*,Er*,415.1794,2020yCat.1350....0G,,4.889999866,0.699999988,0,,2023AJ....166....4H,19.57,dM6,C,2019AJ....157...63K,1,WOLF-359
198,G-272-61A,G 272-61A,2.719520364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G-272-61A
858,ROSS-248,Ross  248,3.15974535,23 41 55.0363,+44 10 38.818,14,14,0.032200001,0.021299999,90,A,O,2020yCat.1350....0G,,,,,,,,2922,,-0.829999983,,SUN,,2022A&A...658A.194P,,,,,,14.18999958,,,Vega,B,,,,,,6.883999825,2003yCat.2246....0C,0.026000001,Vega,J,6.247000217,2003yCat.2246....0C,0.027000001,Vega,H,5.928999901,2003yCat.2246....0C,0.02,Vega,K,2MASS J23415498+4410407|ASCC  451737|Ci 20 1445|CSI+43-23394|CSI+43-23394  1|CSV   5777|GAT 1360|GCRV 14848|GEN# +6.10010905|GEN# +9.80171010|G 171-10|G 190-42|GJ 905|IRAS 23394+4354|JP11  5182|Karmn J23419+441|LFT 1816|LHS   549|LSPM J2341+4410|LTT 16985|NLTT 57692|8pc 316.00|PLX 5736|PLX 5736.00|PM 23394+4355|PM J23419+4410|RAFGL  905|Ross  248|1RXS J234155.0+441047|TIC 176974026|UBV M  42997|USNO 275|USNO 908|USNO-B1.0 1341-00523884|V* HH And|WEB 20625|WISEA J234155.15+441022.1|Zkh 353|[FS2003] 1203|[GKL99] 454|[RHG95]  3743|Gaia DR3 1926461164913660160|Gaia DR2 1926461164913660160,[],BYDraV*,BY*,316.4812,2020yCat.1350....0G,,,,0,,,-77.51,M5.0V,C,2015A&A...577A.128A,1,ROSS-248
217,GJ887,HD 217987,3.288009222,23 05 52.0357,-35 51 11.055,14,14,0.017100001,0.0142,90,A,O,2020yCat.1350....0G,806000,,km,25100,V,FundStP,2010MNRAS.407.1657H,3783,4.81799984,-0.189999998,,Sun,,2021ApJS..255....8R,,,,,,8.829999924,2000A&A...355L..27H,0.02,Vega,B,7.389999866,2000A&A...355L..27H,0.01,Vega,V,4.340000153,2003yCat.2246....0C,0.25999999,Vega,J,3.609999895,2003yCat.2246....0C,0.230000004,Vega,H,3.460000038,2003yCat.2246....0C,0.200000003,Vega,K,LHS    70|AC2000 3355101|ASAS J230552-3551.2|CD-36 15693|Ci 20 1400|CPC 18 11792|CPD-36  9694|CSV   8819|GC 32159|GCRV 14482|GEN# +1.00217987|GJ 887|HD 217987|HIC 114046|HIP 114046|IRAS 23029-3607|JP11  3579|LFT 1758|LPM 849|LTT  9348|2MASS J23055131-3551130|NAME Lacaille 9352|NLTT 55782|NSV 14420|PLX 5584|PLX 5584.00|1RXS J230547.3-355125|SAO 214301|SKY# 43837|TIC 155315739|TIC 471015557|TYC 7512-1263-1|UBV   19770|UBV M  26806|UGP 591|uvby98 100217987|WEB 20248|WISEA J230557.86-355057.2|Zkh 347|[RHG95]  3630|Gaia DR2 6553614253923452800|Gaia DR3 6553614253923452800,[],HighPM*,PM*,304.1354,2020yCat.1350....0G,,-4.369999886,,0,,2020ApJ...898..119R,8.82,M2V,C,2006A&A...460..695T,1,GJ887
1005,V-EZ-AQR,EZ Aqr,3.40599455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V-EZ-AQR
209,GJ273,BD+05  1668,3.786058898,07 27 24.4989,+05 13 32.841,14,14,0.038800001,0.0341,90,A,O,2020yCat.1350....0G,,,,,,,,3418,4.946000099,-0.016000001,,Sun,,2021ApJS..255....8R,12.55799961,2010MNRAS.403.1949K,,Vega,U,11.44299984,2010MNRAS.403.1949K,,Vega,B,9.871999741,2010MNRAS.403.1949K,,Vega,V,5.714000225,2003yCat.2246....0C,0.032000002,Vega,J,5.218999863,2003yCat.2246....0C,0.063000001,Vega,H,4.856999874,2003yCat.2246....0C,0.023,Vega,K,LHS    33|** WDK    2A|AC2000  282902|AP J07272450+0513329|ASCC 1029189|BD+05  1668|GAT 1092|GCRV  4954|GEN# +0.00501668|G 112-17|G  89-19|GJ 273|GSC 00173-01124|HIC  36208|HIP 36208|IRAS 07247+0520|JP11    25|Karmn J07274+052|LFT  527|LSPM J0727+0513|LTT 12021|2MASS J07272450+0513329|MCC 17|NAME Luyten's star|NLTT 17881|8pc 263.26|PLX 1755|PLX 1755.00|PM 07247+0522|PM J07274+0513|RAFGL  273|TIC 318686860|TYC  173-3208-1|UBV    7206|UBV M    272|UCAC2  33555673|USNO-B1.0 0952-00140898|VVO 207|WDS J07274+0514A|WEB  7213|Zkh 102|[HFE83]  515|[JHC84]  57|[RHG95]  1168|Gaia DR3 3139847906307949696|Gaia DR2 3139847906304421632,[],HighPM*,PM*,264.1269,2020yCat.1350....0G,,4.506000042,,0,,2021A&A...649A.147S,18.36,M3.5V,B,1991ApJS...77..417K,1,GJ273
24,2MASSJ02530084+1652532,NAME Teegarden's Star,3.831587917,02 53 00.8917,+16 52 52.632,14,14,0.074600004,0.077,90,A,O,2020yCat.1350....0G,,,,,,,,3031,,0.01,,SUN,,2021A&A...656A.162M,,,,,,17.20999908,,,Vega,B,,,,,,8.394000053,2003yCat.2246....0C,0.027000001,Vega,J,7.882999897,2003yCat.2246....0C,0.039999999,Vega,H,7.585000038,2003yCat.2246....0C,0.046,Vega,K,LSPM J0253+1652|FBS L 14-17|FBS 0250+167|GAT 1370|Karmn J02530+168|2MASS J02530084+1652532|NAME SO J025300.5+165258|NAME APM EO0425-0315372|NAME Teegarden's Star|PM J02530+1652|TIC 257870150|USNO-B1.0 1068-00028941|USNO-A2.0 1050-00774305|WISEA J025303.34+165213.2|WISEP J025303.27+165214.2|Gaia DR3 35227046884571776|Gaia DR2 35227046884571776,[],Low-Mass*,LM*,260.9884,2020yCat.1350....0G,,,,0,,,63,dM6,C,2019AJ....157...63K,1,2MASSJ02530084+1652532
216,GJ860A,HD 239960A,4.009742069,22 27 59.5575,+57 41 42.080,14,14,0.181700006,0.1329,90,A,O,2018yCat.1345....0G,,,,,,,,3406,,,,,,2014MNRAS.443.2561G,,,,,,11.81999969,2002A&A...384..180F,0.090000004,Vega,B,11.40999985,2002A&A...384..180F,0.050000001,Vega,V,,,,,,,,,,,,,,,,LHS  3814|** KR   60A|ADS 15972 A|BD+56  2783A|CCDM J22281+5741A|CSI+56  2783  1|GCRV 14123|GJ 860 A|HD 239960A|LFT 1719|LSPM J2227+5741A|LTT 16592|NLTT 53952|8pc 249.52A|PM J22279+5741W|TYC 3991-92-1|WDS J22280+5742A|Zkh 331|[RHG95]  3537|Gaia DR3 2007876324466455040|Gaia DR2 2007876324466455424,[],HighPM*,PM*,249.3926,2018yCat.1345....0G,,,,0,,,-24,M3V,C,2002AJ....123.2002H,1,GJ860A
