,Unnamed: 0,Star Name,Latex Name,distance (pc),distance error,N(HI),N(HI) uncertainty,N(HI) source,Instrument/Grating,RA,DEC,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,N(HI) uncertainty adjusted
0,14.0,Proxima Centauri,Proxima Centauri,1.301970598,8.46e-05,17.6,0.0,Wood2001,STIS/E140M,217.4289421,-62.67949,,,,,,0.1
1,15.0,alpha Cen A,$\alpha$ Cen A,1.34589502,0.002354863,17.654,0.014,Linsky1996,GHRS/ECH-A,219.9020583,-60.8339925,,,,,,0.1
2,16.0,alpha Cen B,$\alpha$ Cen B,1.34589502,0.002354863,17.603,0.007,Linsky1996,GHRS/ECH-A,219.8960962,-60.8375275,,,,,,0.1
3,89.0,GJ 699,Barnard's Star,1.826648834,0.000967294,17.72,0.03,Youngblood2022,STIS/E140M,269.4520821,4.693364167,,,,,,0.1
4,103.0,Wolf 359,Wolf 359,2.408597344,0.000396812,18.2,0.05,Woodinprep,STIS/E140M,164.1205033,7.014723056,,,,,,0.1
5,88.0,GJ 411,GJ 411,2.54613015,0.000208097,17.84,0.03,Youngblood2022,STIS/E140M,165.834145,35.96988222,,,,,,0.1
6,17.0,Sirius,Sirius,2.637061259,0.010987466,17.53,0.13,Bertin1995,GHRS/G160M,101.287155,-16.71611583,,,,,,0.3
7,94.0,GJ 729,GJ 729,2.97595488,0.000280745,17.72,0.03,Wilson2025,STIS/E140M,282.4556821,-23.83623528,,,,,,0.1
8,105.0,Ross 248,Ross 248,3.155014043,0.001254218,18.07,0.05,Woodinprep,STIS/E140M,355.4793171,44.17745139,,,,,,0.1
9,18.0,eps Eri,$\epsilon$ Eri,3.216054544,0.001654881,17.88,0.07,Dring1997,GHRS/ECH-A,53.23268708,-9.458258611,,,,,,0.1
10,106.0,GJ 887,GJ 887,3.288009222,0.00021622,18.1,0.01,Wood2021,STIS/E140M,346.4668154,-35.85307083,,,,,,0.1
11,107.0,EZ Aqr,EZ Aqr,3.40599455,0.010440719,18.05,0.05,Woodinprep,STIS/E140M,339.6399,-15.2999325,,,,,,0.1
12,19.0,61 Cyg A,61 Cyg A,3.496565848,0.000732336,18.13,0.03,Wood1998,GHRS/ECH-A,316.7247479,38.74941722,,,,,,0.1
13,20.0,Procyon,Procyon,3.514197357,0.015560475,18.06,0.01,Linsky1995a,GHRS/G160M,114.8254979,5.2249875,,,,,,0.3
14,96.0,GJ 15A,GJ 15A,3.562435965,0.000257626,18.06,0.02,Wilson2025,STIS/E140M,4.59535375,44.02295472,,,,,,0.1
15,7.0,eps Ind,$\epsilon$ Ind,3.638439531,0.001265576,18.0,0.1,Wood1996a,GHRS/ECH-A,330.8402233,-56.78597833,,,,,,0.1
16,54.0,tau Cet,$\tau$ Cet,3.652171563,0.002268855,18.006,0.002,Wood2005,STIS/E140M,26.01701292,-15.93747972,,,,,,0.1
17,108.0,GJ 273,GJ 273,3.786058898,0.000592004,18.12,0.02,Wood2021,STIS/E140M,111.8520787,5.225789167,,,,,,0.1
18,109.0,Teegarden's Star,Teegarden's Star,3.831587917,0.001371212,18.4,0.15,Kinginprep,STIS/G140M,43.25371542,16.88128667,,,,,,0.3
19,87.0,GJ 191,GJ 191,3.933931973,0.000259994,17.98,0.34,Youngblood2022,STIS/E140M,77.91912417,-45.01843361,,,,,,0.34
20,110.0,GJ 860A,GJ 860A,4.009742069,0.002657699,17.78,0.02,Wood2021,STIS/E140M,336.9981562,57.69502222,,,,,,0.1
21,100.0,GJ 674,GJ 674,4.552774165,0.000543067,17.96,0.01,Wilson2025,STIS/G140M,262.1664396,-46.89519111,,,,,,0.3
22,75.0,GJ 876,GJ 876,4.672067577,0.000777084,18.03,0.04,Youngblood2016,STIS/G140M,343.3197187,-14.26369556,,,,,,0.3
23,112.0,BD+44  2051,BD+44  2051,4.904663158,0.00079865,17.9,0.05,Woodinprep,STIS/E140M,166.3690704,43.52677389,,,,,,0.1
24,113.0,BD+44  2051B,BD+44  2051B,4.9059938,0.001203439,17.86,0.05,Woodinprep,STIS/E140M,166.3786896,43.52163472,,,,,,0.1
25,55.0,AD Leo,AD Leo,4.965085519,0.000729701,18.475,0.001,Wood2005,STIS/E140M,154.90117,19.87000278,,,,,,0.1
26,74.0,GJ 832,GJ 832,4.967088074,0.000584726,18.2,0.03,Youngblood2016,STIS/G140M,323.3915629,-49.00899972,,,,,,0.3
27,21.0,40 Eri,40 Eri,5.009819246,0.003031873,17.85,0.1,Wood1998,GHRS/ECH-A,63.81799841,-7.652869661,,,,,,0.1
28,56.0,EV Lac,EV Lac,5.05159446,0.000561409,17.972,0.007,Wood2005,STIS/E140M,341.7072133,44.33399278,,,,,,0.1
29,22.0,70 Oph A,70 Oph A,5.113326659,0.005135096,18.06,0.002,Wood2005,STIS/E140M,271.363535,2.500146111,,,,,,0.1
30,23.0,alpha Aql,$\alpha$ Aql,5.12952039,0.014997828,18.29596301,0.355926989,Redfield2004,GHRS/G140M,297.6958271,8.868321111,,,,,,0.355926989
31,114.0,GJ 3323,GJ 3323,5.374997447,0.00080027,17.72,0.02,Redfieldinprep,STIS/E140M,75.48927542,-6.946215556,,,,,,0.1
32,115.0,LSR J1835+3259,LSR J1835+3259,5.688508644,0.001514407,18.0,0.4,Saur2019,STIS/G140M,278.9078337,32.99814333,,,,,,0.4
33,116.0,GJ 205,GJ 205,5.7040803,0.000663745,17.76,0.02,Wood2021,STIS/E140M,82.86414875,-3.677228889,,,,,,0.1
34,0.0,GJ 754,GJ 754,5.908939694,0.002053035,18.27005178,0.007761546,Zachary2018,STIS/E140M,290.1999346,-45.55823417,,,,,,0.1
35,117.0,GJ 588,GJ 588,5.917282311,0.000945384,18.12,0.01,Wood2021,STIS/E140M,233.0538846,-41.27559167,,,,,,0.1
36,24.0,36 Oph A,36 Oph A,5.952271119,0.004758186,17.85,0.15,Wood2000b,STIS/E140H,258.8365983,-26.60169917,,,,,,0.15
37,119.0,V* YZ CMi,YZ CMi,5.98885235,0.001230216,18.02,0.02,Wood2021,STIS/E140M,116.1673846,3.552465278,,,,,,0.1
38,86.0,HD 191408,HD 191408,6.012245742,0.003849666,18.28,0.02,Youngblood2022,STIS/E140M,302.7997446,-36.10120861,,,,,,0.1
39,85.0,82 Eri,82 Eri,6.041412676,0.002861496,18.33,0.03,Youngblood2022,STIS/E140M,49.98187875,-43.06978194,,,,,,0.1
40,1.0,GJ 780,GJ 780,6.099256867,0.004545954,18.00668285,0.003253023,Zachary2018,STIS/E140H,302.1817033,-66.18206722,,,,,,0.1
41,120.0,GJ 644B,GJ 644B,6.195403011,0.216480219,18.4,0.01,Wood2021,STIS/E140H,253.8698229,-8.336329722,,,,,,0.1
42,76.0,GJ 581,GJ 581,6.300470708,0.001194847,18.01,0.145,Youngblood2016,STIS/G140M,229.8617787,-7.722274722,,,,,,0.3
43,121.0,GJ338AB,GJ338AB,6.333607579,0.000790257,17.97,0.01,Wood2021,STIS/E140M,138.5948953,52.68660875,,,,,,0.1
44,25.0,ksi Boo A,$\xi$ Boo A,6.75358531,0.006006957,17.915,0.007,Wood2005,STIS/E140M,222.8474517,19.10044972,,,,,,0.1
45,125.0,LTT 1445A,LTT 1445A,6.863785433,0.001149522,17.8,0.1,Diamond-Lowe2024,STIS/G140M,45.46414,-16.59334194,,,,,,0.3
46,79.0,GJ 667C,GJ 667C,7.242897072,0.001484606,17.98,0.15,Youngblood2016,STIS/G140M,259.7451133,-34.99683667,,,,,,0.3
47,130.0,GJ 486,GJ 486,8.07913676,0.002147464,17.8,0.1,Diamond-Lowe2024,STIS/G140M,191.9859354,9.751398611,,,,,,0.3
48,2.0,GJ 686,GJ 686,8.159628443,0.0011718,18.28,0.02,Zachary2018,STIS/E140M,264.4722783,18.59171222,,,,,,0.1
49,8.0,61 Vir,61 Vir,8.534418456,0.010604965,17.91,0.04,Wood2005,STIS/E140M,199.6013079,-18.31119361,,,,,,0.1
50,26.0,chi01 Ori,$\chi^1$ Ori,8.663259118,0.020264057,17.934,0.003,Wood2005,STIS/E140M,88.59576208,20.27617278,,,,,,0.1
51,4.0,HD 192310,HD 192310,8.811566415,0.004006415,18.23581371,0.021514322,Edelman2020,STIS/E140M,303.8224637,-27.03297528,,,,,,0.1
52,92.0,GJ 849,GJ 849,8.814867508,0.002331057,17.83,0.07,Wilson2025,STIS/G140M,332.4181012,-4.640736111,,,,,,0.3
53,132.0,HD 32147,HD 32147,8.843961564,0.001736388,17.84,0.14,Redfieldinprep,STIS/E140M,75.20416375,-5.753673333,,,,,,0.14
54,57.0,delta Eri,delta Eri,9.088810402,0.016058698,17.88,0.007,Wood2005,STIS/E140M,55.81208542,-9.763391667,,,,,,0.1
55,27.0,kappa Cet,$\kappa^1$ Cet,9.276239932,0.015815737,17.89,0.003,Wood2005,STIS/E140M,49.84040167,3.370198333,,,,,,0.1
56,135.0,GJ 367,GJ 367,9.418617027,0.001250816,17.78,0.09,Mega-MEATS,STIS/G140M,146.1243196,-45.7765075,,,,,,0.3
57,136.0,L 678-39,L 678-39,9.435840531,0.002021097,18.66,0.17,Behr2023,STIS/G140M,144.0068217,-21.66079917,,,,,,0.3
58,77.0,GJ 176,GJ 176,9.485191245,0.001889346,17.46,0.09,Youngblood2016,STIS/G140M,70.73239583,18.95816528,,,,,,0.3
59,28.0,AU Mic,AU Mic,9.714094763,0.0021798,18.356,0.002,Wood2005,STIS/E140M,311.2897183,-31.34089917,,,,,,0.1
60,78.0,GJ 436,GJ 436,9.775037292,0.002885651,18.04,0.06,Youngblood2016,STIS/G140M,175.5462221,26.70656944,,,,,,0.3
61,3.0,GJ 678.1 A,GJ 678.1 A,10.1169622,0.001596706,18.58153464,0.000262099,Zachary2018,STIS/E140M,262.5947013,5.548518056,,,,,,0.1
62,,beta Gem,$\beta$ Gem,10.35840066,0.028970047,18.26,0.03,Dring1997,GHRS/ECH-A,116.3289575,28.02619889,,,,,,0.1
63,47.0,EP Eri,EP Eri,10.36054704,0.002769396,18.05,0.1,Wood2000a,GHRS/G160M,43.13386708,-12.76971333,,,,,,0.3
64,93.0,GJ 649,GJ 649,10.39141337,0.002634748,18.19,0.02,Wilson2025,STIS/G140M,254.5368733,25.74415944,,,,,,0.3
