col1,Star Name,distance (pc),distance error,N(HI),N(HI) uncertainty,N(HI) source,RA,DEC,ï»¿sci_data_set_name,sci_targname,sci_ra,sci_dec,sci_refnum,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_aper_1234,sci_spec_1234,sci_central_wavelength,sci_pep_id,sci_pi_last_name,sci_release_date,sci_preview_name,scp_scan_type,sci_hlsp,GroupID,GroupSize,Separation
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO01010,GJ551,217.4280908,-62.67956273,12,2000-05-08T00:58:04.747000,2000-05-08T02:08:04.747000,4200.1505,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-08T02:08:04.747000,O5EO01010,,20,1,71,1.422862707833282
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO01020,GJ551,217.4280901,-62.67956265,12,2000-05-08T02:13:54.733000,2000-05-08T03:44:54.730000,5460.166375,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-08T03:44:54.730000,O5EO01020,,20,1,71,1.4239487611167767
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO01030,GJ551,217.4280891,-62.67956253,12,2000-05-08T03:50:44.747000,2000-05-08T05:21:44.747000,5460.180375,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-08T05:21:44.747000,O5EO01030,,20,1,71,1.425496877761999
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO01040,GJ551,217.4280882,-62.67956242,12,2000-05-08T05:27:34.733000,2000-05-08T06:58:34.730000,5460.179375,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-08T06:58:34.730000,O5EO01040,,20,1,71,1.4268892090626792
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO02010,GJ551,217.4280776,-62.67956109,12,2000-05-09T00:03:17.740000,2000-05-09T01:13:17.740000,4200.102875,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-09T01:13:17.740000,O5EO02010,,20,1,71,1.4432886974944634
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO02020,GJ551,217.4280768,-62.679561,12,2000-05-09T01:19:07.757000,2000-05-09T02:50:07.757000,5460.145125,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-09T02:50:07.757000,O5EO02020,,20,1,71,1.4445345553526419
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO02030,GJ551,217.4280759,-62.67956088,12,2000-05-09T02:55:57.740000,2000-05-09T04:26:57.740000,0.0,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2001-05-09T04:26:57.740000,,,,1,71,1.445924760550928
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,O5EO02040,GJ551,217.428075,-62.67956076,12,2000-05-09T04:32:47.757000,2000-05-09T06:03:47.757000,5460.12875,STIS,0.2X0.2,E140M,1425,8040,LINSKY,2006-11-22T22:23:36,O5EO02040,,20,1,71,1.4473152872397634
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,ODD201010,V-V645-CEN,217.3891604,-62.67577992,4,2017-05-31T21:19:36.937000,2017-05-31T22:02:35.937000,2579.173625,STIS,0.2X0.2,E140M,1425,14860,SCHNEIDER,2017-06-01T02:44:03,ODD201010,,,1,71,67.07235446380618
14,GJ 551,1.301235497,3.437223953E-4,17.61,0.2,Wood2005,217.42893791666663,-62.679491666666664,ODD201020,V-V645-CEN,217.3891601,-62.67577989,4,2017-05-31T22:32:21.930000,2017-05-31T23:26:07.930000,3226.156,STIS,0.2X0.2,E140M,1425,14860,SCHNEIDER,2017-06-01T02:45:59,ODD201020,,,1,71,67.0728617915633
